Library,Title,Date,Time,Location,Age Group,Program Type,Description,Link
Chicago Parks,Cocoa with Santa at Adams,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cocoa-santa-adams
Chicago Parks,Community Bonfire at Cornell,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-bonfire-cornell
Chicago Parks,Holiday Art Craft at Mayfair,Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-art-craft-mayfair
Chicago Parks,Santa’s Family Workshop at Horner,Not found,Pending...,Chicago Park District,Kids/Family,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/santas-family-workshop-horner
Chicago Parks,Santa's Senior Event at Revere,Not found,Pending...,Chicago Park District,Adults,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/santas-senior-event-revere
Chicago Parks,Senior Holiday Party at Hamilton,Not found,Pending...,Chicago Park District,Adults,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/senior-holiday-party-hamilton
Chicago Parks,Senior Winter Wonderland at Shedd,Not found,Pending...,Chicago Park District,Adults,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/senior-winter-wonderland-shedd
Chicago Parks,Ravinia Winter Recital at Douglass,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/ravinia-winter-recital-douglass
Chicago Parks,Teen Night Out at the Park at Harrison,Not found,Pending...,Chicago Park District,Teens,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/teen-night-out-park-harrison
Chicago Parks,Community Bonfire at Wentworth,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-bonfire-wentworth
